unique_number,rev_bis,name_en,date_inscribed,danger_list,Latitude,Longitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en
877,,National Archeological Park of Tierradentro,1995,,2.583333333,-76.03333333,0,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Colombia
878,,San Agustín Archaeological Park,1995,,1.916666667,-76.23333333,0,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Colombia
1787,,Coffee Cultural Landscape of Colombia,2011,,5.4716666667,-75.6816666667,141120,0,0,0,0,1,1,0,0,0,0,(v)(vi),Cultural,C,Colombia
1393,,Malpelo Fauna and Flora Sanctuary,2006,,3.9666666667,-81.6166666666,857500,0,0,0,0,0,0,1,0,1,0,(vii)(ix),Natural,N,Colombia
969,Bis,Cocos Island National Park,1997,,5.533333333,-87.06666667,199790,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Costa Rica
1083,Bis,Area de Conservación Guanacaste,1999,,10.85,-85.61666667,147000,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Costa Rica
1997,,Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,2014,,8.9113888889,-83.4775,24.73,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Costa Rica
216,,Taï National Park,1982,,5.75,-7.66667,330000,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Côte d'Ivoire
252,,Comoé National Park,1983,Y 2003,9,-4,1150000,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Côte d'Ivoire
1919,Rev,Historic Town of Grand-Bassam,2012,,5.1958333333,3.7363888889,109.89,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Côte d'Ivoire
103,bis,Old City of Dubrovnik,1979,P 1991-1998,42.65056,18.09139,96.7,1,0,1,1,0,0,0,0,0,0,(i)(iii)(iv),Cultural,C,Croatia
105,,Historical Complex of Split with the Palace of Diocletian,1979,,43.50944,16.44333,20.8,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Croatia
106,Bis,Plitvice Lakes National Park,1979,P 1992-1997,44.87778,15.61444,29630.77,0,0,0,0,0,0,1,1,1,0,(vii)(viii)(ix),Natural,N,Croatia
956,,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,1997,,45.22917,13.59444,1.1,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Croatia
957,,Historic City of Trogir,1997,,43.5125,16.25167,6.4,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Croatia
1127,,The Cathedral of St James in Šibenik,2000,,43.73629,15.89038,0.1,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,Croatia
1484,,Stari Grad Plain,2008,,43.1816666667,16.6386111111,1376.53,0,1,1,0,1,0,0,0,0,0,(ii)(iii)(v),Cultural,C,Croatia
225,,Old Havana and its Fortification System,1982,,23.13333333,-82.35,142.5,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Cuba
535,,Trinidad and the Valley de los Ingenios,1988,,21.80305556,-79.98444444,0,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Cuba
989,Rev,Alejandro de Humboldt National Park,2001,,20.45,-75,71140,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Cuba
991,Rev,Viñales Valley,1999,,22.61667,-83.71667,0,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Cuba
992,,"San Pedro de la Roca Castle, Santiago de Cuba",1997,,19.96666667,-75.87083333,93.88,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Cuba
1041,,Desembarco del Granma National Park,1999,,19.88333,-77.63333,41863,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Cuba
1178,,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,2000,,20.03,-75.39138889,81475,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Cuba
1379,,Urban Historic Centre of Cienfuegos ,2005,,22.14722,-80.45278,70,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Cuba
1482,,Historic Centre of Camagüey,2008,,21.3786111111,-77.9186111111,54,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Cuba
85,,Paphos,1980,,34.75833,32.40556,0,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,Cyprus
401,Bis,Painted Churches in the Troodos Region,1985,,34.92027778,33.09583333,0,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Cyprus
1927,Bis,Choirokoitia,1998,,34.79833,33.34333,6.2,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Cyprus
1928,Bis,Historic Centre of Prague,1992,,50.08972,14.41944,1106.36,0,1,0,1,0,1,0,0,0,0,(ii)(iv)(vi),Cultural,C,Czechia
732,,Historic Centre of Český Krumlov,1992,,48.81666667,14.31666667,51.91,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Czechia
738,,Historic Centre of Telč,1992,,49.18333,15.45,36,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Czechia
816,,Pilgrimage Church of St John of Nepomuk at Zelená Hora,1994,,49.5802,15.9420583333,0.64,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Czechia
865,,Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,1995,,49.95,15.2666666667,62.437,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Czechia
899,,Lednice-Valtice Cultural Landscape,1996,,48.77583,16.775,14320,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,Czechia
1010,Rev,Holy Trinity Column in Olomouc,2000,,49.5939361111,17.2504583333,0.05,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Czechia
1011,,Gardens and Castle at Kroměříž,1998,,49.3,17.37722222,74.5,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Czechia
1012,,Holašovice Historic Village,1998,,48.95972222,14.25277778,11.4,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Czechia
1054,,Litomyšl Castle,1999,,49.87361,16.31444,4.4,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Czechia
1226,,Tugendhat Villa in Brno,2001,,49.2071833333,16.6160555556,0.73,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Czechia
1255,,Jewish Quarter and St Procopius' Basilica in Třebíč,2003,,49.21722222,15.87888889,5.73,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Czechia
1269,,Complex of Koguryo Tombs,2004,,38.86305556,125.415,232.9,1,1,1,1,0,0,0,0,0,0,(i)(ii)(iii)(iv),Cultural,C,Democratic People's Republic of Korea
1878,Rev,Historic Monuments and Sites in Kaesong,2013,,37.9816666667,126.5080555556,494.2,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Democratic People's Republic of Korea
67,,Virunga National Park,1979,Y 1994,0.916666667,29.16666667,800000,0,0,0,0,0,0,1,1,0,1,(vii)(viii)(x),Natural,N,Democratic Republic of the Congo
149,,Garamba National Park,1980,Y 1996 P 1984-1992,4,29.25,500000,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Democratic Republic of the Congo
150,,Kahuzi-Biega National Park,1980,Y 1997,-2.5,28.75,600000,0,0,0,0,0,0,0,0,0,1,(x),Natural,N,Democratic Republic of the Congo
314,,Salonga National Park,1984,Y 1999,-2,21,3600000,0,0,0,0,0,0,1,0,1,0,(vii)(ix),Natural,N,Democratic Republic of the Congo
849,,Okapi Wildlife Reserve,1996,Y 1997,2,28.5,1372625,0,0,0,0,0,0,0,0,0,1,(x),Natural,N,Democratic Republic of the Congo
822,rev,Roskilde Cathedral,1995,,55.64222222,12.07972222,0.4,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Denmark
824,Rev,Kronborg Castle,2000,,56.03889,12.62083333,0,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Denmark
825,,"Jelling Mounds, Runic Stones and Church",1994,,55.75638889,9.42,4.96,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Denmark
1330,,Ilulissat Icefjord,2004,,69.13333333,-49.5,402400,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Denmark
1973,,Stevns Klint,2014,,55.2672222222,12.4233333333,50,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Denmark
2029,,"Christiansfeld, a Moravian Church Settlement",2015,,55.3555555556,9.4813888889,21.2,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Denmark
2030,,The par force hunting landscape in North Zealand,2015,,55.9136111111,12.3577777778,4543,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Denmark
2154,,Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,2017,,61.1644444444,-45.5980555556,34.892,0,0,0,0,1,0,0,0,0,0,(v),Cultural,C,Denmark
962,,Morne Trois Pitons National Park,1997,,15.26666667,-61.28333333,6857,0,0,0,0,0,0,0,1,0,1,(viii)(x),Natural,N,Dominica
615,,Colonial City of Santo Domingo,1990,,18.48333333,-69.91666667,106,0,1,0,1,0,1,0,0,0,0,(ii)(iv)(vi),Cultural,C,Dominican Republic
4,Bis,Galápagos Islands,1978,P 2007-2010,-0.81667,-91,14066514,0,0,0,0,0,0,1,1,1,1,(vii)(viii)(ix)(x),Natural,N,Ecuador
5,,City of Quito,1978,,-0.003888889,-78.5,320,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Ecuador
290,,Sangay National Park,1983,P 1992-2005,-1.83333,-78.33333,271925,0,0,0,0,0,0,1,1,1,1,(vii)(viii)(ix)(x),Natural,N,Ecuador
1014,,Historic Centre of Santa Ana de los Ríos de Cuenca,1999,,-2.883333333,-78.98333333,224.14,0,1,0,1,1,0,0,0,0,0,(ii)(iv)(v),Cultural,C,Ecuador
92,,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,1979,,29.97604,31.13041,16358.52,1,0,1,0,0,1,0,0,0,0,(i)(iii)(vi),Cultural,C,Egypt
93,,Ancient Thebes with its Necropolis,1979,,25.73333,32.6,7390.16,1,0,1,0,0,1,0,0,0,0,(i)(iii)(vi),Cultural,C,Egypt
94,,Nubian Monuments from Abu Simbel to Philae,1979,,22.33639,31.62611,374.48,1,0,1,0,0,1,0,0,0,0,(i)(iii)(vi),Cultural,C,Egypt
95,,Historic Cairo,1979,,30.05,31.26111,523.66,1,0,0,0,1,1,0,0,0,0,(i)(v)(vi),Cultural,C,Egypt
96,,Abu Mena,1979,Y 2001,30.8358333333,29.66666667,182.72,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Egypt
1116,,Saint Catherine Area,2002,,28.55623,33.97543,60100,1,0,1,1,0,1,0,0,0,0,(i)(iii)(iv)(vi),Cultural,C,Egypt
1363,,Wadi Al-Hitan (Whale Valley),2005,,29.33333,30.18333,20015,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Egypt
799,,Joya de Cerén Archaeological Site,1993,,13.8275,-89.36916667,3200,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,El Salvador
2131,,Asmara: a Modernist City of Africa,2017,,15.3352777778,38.9358333333,481,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Eritrea
1626,Bis,Historic Centre (Old Town) of Tallinn,1997,,59.43333,24.73333333,113,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Estonia
12,,Simien National Park,1978,Y 1996,13.1833333333,38.0666666667,13600,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,Ethiopia
13,,Lower Valley of the Awash,1980,,11.10006,40.57939,0,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Ethiopia
15,,Tiya,1980,,8.43491,38.6121,0,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Ethiopia
18,,Aksum,1980,,14.13019,38.71861,0,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Ethiopia
20,,Lower Valley of the Omo,1980,,4.8,35.96666667,0,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Ethiopia
21,,"Rock-Hewn Churches, Lalibela",1978,,12.02935,39.04042,0,1,1,1,0,0,0,0,0,0,0,(i)(ii)(iii),Cultural,C,Ethiopia
22,,"Fasil Ghebbi, Gondar Region",1979,,12.60692,37.46617,0,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Ethiopia
1452,rev,"Harar Jugol, the Fortified Historic Town",2006,,9.3088888888,42.1377777777,48,0,1,1,1,1,0,0,0,0,0,(ii)(iii)(iv)(v),Cultural,C,Ethiopia
1846,rev,Konso Cultural Landscape,2011,,5.3,37.4,23000,0,0,1,0,1,0,0,0,0,0,(iii)(v),Cultural,C,Ethiopia
1886,,Levuka Historical Port Town,2013,,-17.6833777778,178.8345333333,69.6,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Fiji
686,Rev,Bronze Age Burial Site of Sammallahdenmäki,1999,,61.12056,21.7775,0,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Finland
1718,Bis,Old Rauma,1991,,61.12806,21.51167,29,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Finland
690,,Fortress of Suomenlinna,1991,,60.14722,24.98722,210,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Finland
691,,Petäjävesi Old Church,1994,,62.25,25.18333,0,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Finland
885,,Verla Groundwood and Board Mill,1996,,61.06194,26.64083,22.778,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Finland
1569,Bis,Mont-Saint-Michel and its Bay,1979,,48.63556,-1.51056,6560,1,0,1,0,0,1,0,0,0,0,(i)(iii)(vi),Cultural,C,France
1719,Bis,Chartres Cathedral,1979,,48.4475,1.487222222,1.06,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,France
1571,Bis,Palace and Park of Versailles,1979,,48.805,2.119444444,1070,1,1,0,0,0,1,0,0,0,0,(i)(ii)(vi),Cultural,C,France
1572,Bis,"Vézelay, Church and Hill",1979,,47.46638889,3.748333333,183,1,0,0,0,0,1,0,0,0,0,(i)(vi),Cultural,C,France
91,,Prehistoric Sites and Decorated Caves of the Vézère Valley,1979,,45.0575,1.17,0,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,France
178,,Palace and Park of Fontainebleau,1981,,48.40194444,2.698055556,144,0,1,0,0,0,1,0,0,0,0,(ii)(vi),Cultural,C,France
1951,Bis,Amiens Cathedral,1981,,49.895,2.301666667,1.54,1,1,0,0,0,0,0,0,0,0,(i)(ii),Cultural,C,France
1568,Bis,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",1981,,44.13572222,4.808416667,9.45,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,France
182,,"Arles, Roman and Romanesque Monuments",1981,,43.67763889,4.630694444,65,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,France
1565,Bis,Cistercian Abbey of Fontenay,1981,,47.63944,4.38911,5.77,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,France
1637,Bis,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt ",1982,,46.9375,5.8763888889,10.48,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,France
254,rev,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",1995,,43.95277778,4.806111111,8.2,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,France
2186,,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",1983,,48.69361111,6.183333333,7,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,France
2118,,Abbey Church of Saint-Savin sur Gartempe,1983,,46.56472,0.86611,1.61,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,France
288,,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",1983,,42.32519444,8.628833333,11800,0,0,0,0,0,0,1,1,0,1,(vii)(viii)(x),Natural,N,France
1566,Bis,Pont du Gard (Roman Aqueduct),1985,,43.94722222,4.535277778,0.3257,1,0,1,1,0,0,0,0,0,0,(i)(iii)(iv),Cultural,C,France
393,rev,Historic Fortified City of Carcassonne,1997,,43.21055556,2.358888889,11,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,France
2156,,"Strasbourg, Grande-Île and <em>Neustadt</em>",1988,,48.5844444444,7.7488888889,183,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,France
710,,"Paris, Banks of the Seine",1991,,48.85833333,2.294166667,365,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,France
711,,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",1991,,49.25333333,4.032777778,4.16,1,1,0,0,0,1,0,0,0,0,(i)(ii)(vi),Cultural,C,France
1952,bis,Bourges Cathedral,1992,,47.08222222,2.398333333,0.85,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,France
910,,Canal du Midi,1996,,43.61138889,1.416388889,1172,1,1,0,1,0,1,0,0,0,0,(i)(ii)(iv)(vi),Cultural,C,France
1019,,Routes of Santiago de Compostela in France,1998,,45.18405556,0.722944444,0,0,1,0,1,0,1,0,0,0,0,(ii)(iv)(vi),Cultural,C,France
1023,,Historic Site of Lyon,1998,,45.76722,4.83333,427,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,France
1025,Rev,"Provins, Town of Medieval Fairs",2001,,48.55972222,3.298888889,108,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,France
1088,,Jurisdiction of Saint-Emilion,1999,,44.89472222,-0.155277778,7847,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,France
2250,,The Loire Valley between Sully-sur-Loire and Chalonnes,2000,,47.39889,0.70278,86021,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,France
1531,,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,2008,,-20.4119444444,164.5663888889,1574300,0,0,0,0,0,0,1,0,1,1,(vii)(ix)(x),Natural,N,France
1848,rev,"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape",2011,,44.2202777778,3.4730555556,302319,0,0,1,0,1,0,0,0,0,0,(iii)(v),Cultural,C,France
1358,,"Le Havre, the City Rebuilt by Auguste Perret",2005,,49.49278,0.1075,133,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,France
1433,,"Bordeaux, Port of the Moon",2007,,44.8388888889,-0.5722222222,1731,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,France
1514,,Fortifications of Vauban,2008,,47.2361111111,6.0269444444,1153.16,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,France
1604,,"Pitons, cirques and remparts of Reunion Island",2010,,-21.0994444444,55.48,105838,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,France
1663,,Episcopal City of Albi,2010,,43.9283333333,2.1425,19.47,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,France
1776,,Nord-Pas de Calais Mining Basin,2012,,50.4625,3.5461111111,3943,0,1,0,1,0,1,0,0,0,0,(ii)(iv)(vi),Cultural,C,France
2016,,"The Climats, terroirs of Burgundy",2015,,47.0580555556,4.8644444444,13219,0,0,1,0,1,0,0,0,0,0,(iii)(v),Cultural,C,France
1974,,"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",2014,,44.3875,4.4161111111,9,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,France
2026,,"Champagne Hillsides, Houses and Cellars",2015,,49.0775,3.9461111111,1101.72,0,0,1,1,0,1,0,0,0,0,(iii)(iv)(vi),Cultural,C,France
2155,,Taputapuātea,2017,,-16.8414,-151.3723777778,2124,0,0,1,1,0,1,0,0,0,0,(iii)(iv)(vi),Cultural,C,France
1547,Rev,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,2007,,-0.5,11.5,491291,0,0,1,1,0,0,0,0,1,1,(iii)(iv)(ix)(x),Mixed,C/N,Gabon
897,Rev,Kunta Kinteh Island and Related Sites,2003,,13.31616667,-16.35719444,7.5981,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,Gambia (the)
2251,,Historical Monuments of Mtskheta,1994,Y 2009,41.84389,44.71639,3.85,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Georgia
839,,Upper Svaneti,1996,,42.91639,43.01139,1.06,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Georgia
2243,,Gelati Monastery,1994,Y 2010,42.2947222222,42.7683333333,4.2,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Georgia
1953,bis,Aachen Cathedral ,1978,,50.77444444,6.084444444,0.2,1,1,0,1,0,1,0,0,0,0,(i)(ii)(iv)(vi),Cultural,C,Germany
186,,Speyer Cathedral,1981,,49.31666667,8.443055556,0,0,1,0,0,0,0,0,0,0,0,(ii),Cultural,C,Germany
1735,Bis,Würzburg Residence with the Court Gardens and Residence Square,1981,,49.79278,9.93889,14.77,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Germany
1627,bis,St Mary's Cathedral and St Michael's Church at Hildesheim,1985,,52.15278,9.94389,0.58,1,1,1,0,0,0,0,0,0,0,(i)(ii)(iii),Cultural,C,Germany
1864,Bis,Pilgrimage Church of Wies,1983,,47.68127778,10.90013889,0.1,1,0,1,0,0,0,0,0,0,0,(i)(iii),Cultural,C,Germany
1706,Bis,Hanseatic City of Lübeck,1987,,53.86667,10.69167,81.1,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Germany
322,,Castles of Augustusburg and Falkenlust at Brühl,1984,,50.82502778,6.909777778,89,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
1628,Bis,Cologne Cathedral,1996,P 2004-2006,50.94111111,6.957222222,,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,Germany
420,,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",1986,,49.75,6.633333333,0,1,0,1,1,0,1,0,0,0,0,(i)(iii)(iv)(vi),Cultural,C,Germany
1865,Bis,Abbey and Altenmünster of Lorsch,1991,,49.65369,8.56858,3.34,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Germany
624,Ter,Palaces and Parks of Potsdam and Berlin,1990,,52.4,13.03333333,2064,1,1,0,1,0,0,0,0,0,0,(i)(ii)(iv),Cultural,C,Germany
627,Rev,Garden Kingdom of Dessau-Wörlitz,2000,,51.8425,12.42083,14500,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
629,rev,"Collegiate Church, Castle and Old Town of Quedlinburg",1994,,51.78333,11.15,90,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Germany
642,rev,Maulbronn Monastery Complex,1993,,49.00083,8.81306,0,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
1576,ter,"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",1992,,51.82,10.34,1009.89,1,1,1,1,0,0,0,0,0,0,(i)(ii)(iii)(iv),Cultural,C,Germany
742,,Town of Bamberg,1993,,49.89166667,10.88888889,142,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
813,,Völklingen Ironworks,1994,,49.24444,6.85,6,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
1733,Bis,Messel Pit Fossil Site,1995,,49.91667,8.75389,42,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Germany
926,,Luther Memorials in Eisleben and Wittenberg,1996,,51.86472,12.65278,0,0,0,0,1,0,1,0,0,0,0,(iv)(vi),Cultural,C,Germany
997,,Classical Weimar,1998,,50.9775,11.32861,0,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,Germany
1047,,"Museumsinsel (Museum Island), Berlin",1999,,52.51972222,13.39861111,8.6,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
1048,,Wartburg Castle,1999,,50.96677778,10.307,0,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,Germany
1138,,Monastic Island of Reichenau,2000,,47.69872222,9.061305556,0,0,0,1,1,0,1,0,0,0,0,(iii)(iv)(vi),Cultural,C,Germany
1139,,Zollverein Coal Mine Industrial Complex in Essen,2001,,51.49138889,7.046111111,0,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Germany
1243,,Upper Middle Rhine Valley,2002,,50.17361111,7.694166667,27250,0,1,0,1,1,0,0,0,0,0,(ii)(iv)(v),Cultural,C,Germany
1244,,Historic Centres of Stralsund and Wismar,2002,,54.3025,13.08527778,168,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
1265,,Town Hall and Roland on the Marketplace of Bremen,2004,,53.07597222,8.807472222,0.287,0,0,1,1,0,1,0,0,0,0,(iii)(iv)(vi),Cultural,C,Germany
1335,,Old town of Regensburg with Stadtamhof,2006,,49.02055556,12.09916667,182.8,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Germany
1416,,Berlin Modernism Housing Estates,2008,,52.4483333333,13.45,88.1,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
1778,,Fagus Factory in Alfeld,2011,,51.9836111111,9.8111111111,1.88,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,Germany
1799,,Margravial Opera House Bayreuth,2012,,49.9444444444,11.5786111111,0.19,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Germany
1875,,Bergpark Wilhelmshöhe,2013,,51.3158333333,9.3930555556,558.7,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Germany
1990,,Carolingian Westwork and Civitas Corvey,2014,,51.7782777778,9.41025,12,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Germany
2028,,Speicherstadt and Kontorhaus District with Chilehaus,2015,,53.5455555556,9.9994444444,26.08,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Germany
2157,,Caves and Ice Age Art in the Swabian Jura,2017,,48.3877777778,9.7655555556,462.1,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Germany
38,,"Forts and Castles, Volta, Greater Accra, Central and Western Regions",1979,,5.39103,-0.49361,0,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Ghana
39,,Asante Traditional Buildings,1980,,6.4011111111,-1.6258333333,0,0,0,0,0,1,0,0,0,0,0,(v),Cultural,C,Ghana
452,,Temple of Apollo Epicurius at Bassae,1986,,37.43498,21.89694,20.46,1,1,1,0,0,0,0,0,0,0,(i)(ii)(iii),Cultural,C,Greece
453,,Archaeological Site of Delphi,1987,,38.48149,22.49617,51.04,1,1,1,1,0,1,0,0,0,0,(i)(ii)(iii)(iv)(vi),Cultural,C,Greece
467,,"Acropolis, Athens",1987,,37.97087,23.72618,3.04,1,1,1,1,0,1,0,0,0,0,(i)(ii)(iii)(iv)(vi),Cultural,C,Greece
526,,Mount Athos,1988,,40.26667,24.21667,33042.3,1,1,0,1,1,1,1,0,0,0,(i)(ii)(iv)(v)(vi)(vii),Mixed,C/N,Greece
